id_cliente,nome,idade,sexo,cor,casado,qt_filhos,cidade,renda,qt_carros,qt_cart_cred,casa_propria,credit_score,endivid,trabalha,Conta Corrente Plus,Cart�o Platinum,Seguro Residencial,Cr�dito Pessoal Flex,Investimento Renda Fixa
52,Camila Souza,56,F,Preta,Sim,1,Goiânia,151400,1,5,Sim,340,40492,Não,1,1,1,0,1
53,Juliana Souza,26,F,Indígena,Não,4,Brasília,162882,1,2,Não,602,44396,Sim,1,1,0,1,0
54,Laura Ferreira,23,F,Amarela,Sim,2,Brasília,84796,3,2,Não,690,41847,Não,1,1,1,0,0
55,Pedro Pereira,76,M,Preta,Não,0,Belo Horizonte,43774,0,2,Não,418,3184,Sim,0,1,0,0,0
56,Fernanda Oliveira,74,F,Amarela,Sim,3,Goiânia,233970,2,0,Não,522,58115,Não,0,0,1,0,1
57,Maria Alves,35,F,Parda,Sim,3,Rio de Janeiro,131204,0,0,Não,549,16505,Sim,1,0,0,1,0
58,Juliana Gomes,18,F,Preta,Sim,1,Brasília,151414,1,0,Sim,434,1947,Não,1,1,1,1,1
59,Laura Santos,65,F,Branca,Não,3,Salvador,289084,0,3,Sim,344,136695,Não,1,0,1,0,1
60,Fernando Pereira,22,M,Branca,Não,4,Belo Horizonte,54436,1,2,Não,690,19575,Não,1,0,1,0,0
61,Luiz Pereira,74,M,Parda,Não,2,Fortaleza,229049,3,5,Sim,620,55936,Não,1,1,1,0,1
62,Pedro Alves,24,M,Preta,Sim,4,São Paulo,192829,0,3,Não,733,94510,Sim,0,0,0,1,1
63,Patrícia Santos,40,F,Indígena,Não,0,Curitiba,138572,3,4,Sim,573,3794,Sim,1,0,0,1,1
64,Eduardo Alves,22,M,Parda,Sim,0,Brasília,132791,3,3,Não,649,20631,Não,1,1,0,1,0
65,Carlos Gomes,21,M,Branca,Não,3,Recife,274626,3,3,Não,520,134308,Sim,1,1,0,0,0
66,Maria Souza,43,F,Indígena,Sim,0,Porto Alegre,178030,1,1,Não,596,43007,Sim,1,0,1,1,0
67,Ana Alves,73,F,Branca,Não,0,Fortaleza,60822,2,4,Não,714,23248,Não,1,0,0,1,0
68,Beatriz Santos,45,F,Branca,Sim,3,Goiânia,229951,0,3,Não,647,29041,Não,1,1,0,1,1
69,Beatriz Oliveira,33,F,Branca,Sim,2,Porto Alegre,110963,1,5,Sim,481,50649,Não,1,0,1,0,0
70,Beatriz Oliveira,46,F,Branca,Não,3,Curitiba,164008,0,2,Sim,617,60521,Não,1,1,1,0,0
71,Eduardo Gomes,50,M,Amarela,Não,4,Brasília,41507,3,4,Sim,629,19824,Não,1,0,1,0,0
72,Ricardo Oliveira,20,M,Parda,Não,3,Brasília,294070,1,2,Não,589,101558,Não,1,1,1,0,1
73,Ana Costa,61,F,Amarela,Não,2,Goiânia,98838,2,0,Sim,658,20331,Não,1,0,1,1,0
74,Juliana Costa,23,F,Amarela,Não,0,Salvador,181934,1,1,Não,797,25166,Sim,0,1,0,0,0
75,Paulo Gomes,26,M,Indígena,Não,1,Belo Horizonte,114815,1,5,Não,344,26926,Não,1,1,0,1,0
76,Patrícia Costa,33,F,Preta,Não,1,Salvador,250999,3,2,Não,814,69135,Não,0,0,0,1,1
77,Beatriz Costa,77,F,Branca,Sim,2,Rio de Janeiro,104049,2,3,Sim,747,6010,Sim,0,0,0,1,1
78,Patrícia Alves,23,F,Preta,Sim,0,Salvador,71948,2,1,Sim,339,18800,Não,1,1,0,0,1
79,João Rodrigues,31,M,Parda,Não,0,Curitiba,144591,2,0,Sim,544,55027,Não,1,0,1,0,0
80,Carlos Rodrigues,45,M,Branca,Não,1,Goiânia,238401,1,5,Sim,836,47265,Sim,0,1,0,1,1
81,Maria Alves,80,F,Preta,Não,0,Salvador,55420,2,1,Sim,640,4371,Sim,1,1,0,0,0
82,Juliana Oliveira,22,F,Amarela,Sim,2,Porto Alegre,42967,1,0,Não,617,16888,Não,0,0,0,0,0
83,Maria Ferreira,35,F,Branca,Não,3,Recife,250548,3,2,Sim,808,90710,Não,1,0,1,1,1
84,Fernanda Oliveira,52,F,Preta,Não,0,Rio de Janeiro,191924,2,2,Não,736,21842,Não,1,1,0,1,0
85,Maria Santos,60,F,Amarela,Não,4,Belo Horizonte,36326,1,4,Não,335,4136,Sim,1,0,0,0,1
86,Fernando Ferreira,41,M,Amarela,Sim,4,Belo Horizonte,297589,2,3,Não,585,65434,Sim,1,1,0,0,1
87,Carolina Souza,57,F,Preta,Não,1,Rio de Janeiro,91160,0,3,Sim,755,5753,Não,1,0,1,1,1
88,Carlos Ferreira,50,M,Parda,Sim,1,Belo Horizonte,144117,3,0,Não,677,61263,Sim,1,1,0,0,0
89,Amanda Gomes,22,F,Parda,Não,0,Fortaleza,264230,2,1,Sim,432,113408,Sim,0,1,1,1,0
90,Paulo Costa,75,M,Preta,Sim,2,Porto Alegre,163891,1,5,Não,846,12245,Sim,1,0,1,0,0
91,Fernanda Silva,70,F,Branca,Sim,0,Goiânia,158755,1,4,Não,331,65278,Não,1,1,0,0,1
92,Ana Silva,28,F,Amarela,Não,3,Fortaleza,126966,2,4,Sim,620,56458,Não,1,0,0,1,1
93,Paulo Souza,47,M,Branca,Não,3,Porto Alegre,93860,0,0,Não,693,40329,Não,1,0,1,1,0
94,Patrícia Oliveira,49,F,Indígena,Não,3,Curitiba,280765,0,0,Não,817,119860,Sim,1,1,1,1,0
95,Camila Costa,18,F,Branca,Não,1,Curitiba,211772,3,2,Sim,710,6705,Sim,1,1,1,1,0
96,Carlos Santos,43,M,Preta,Não,4,Salvador,95637,1,4,Não,812,2638,Sim,1,0,0,1,1
97,Paulo Gomes,38,M,Parda,Não,4,Curitiba,196356,3,5,Não,786,2180,Não,1,1,0,1,0
98,Eduardo Pereira,34,M,Indígena,Sim,0,Goiânia,271893,1,4,Não,451,63490,Sim,1,0,1,0,1
99,Patrícia Alves,50,F,Indígena,Não,0,Belo Horizonte,291939,1,4,Não,789,137750,Não,1,1,0,1,1
100,Fernanda Pereira,30,F,Parda,Não,4,Curitiba,137895,2,2,Sim,800,41555,Não,1,0,0,1,1
101,Amanda Ferreira,79,F,Parda,Não,0,Curitiba,61434,2,3,Não,790,7011,Sim,0,1,0,1,1
102,Miguel Silva,60,M,Indígena,Sim,1,São Paulo,72532,3,2,Não,402,9009,Sim,0,0,1,0,0
103,Carolina Souza,66,F,Preta,Não,2,São Paulo,66903,1,4,Sim,479,27386,Sim,0,1,0,0,1
104,Maria Silva,37,F,Indígena,Sim,2,Curitiba,258209,3,1,Não,579,25272,Sim,1,0,0,0,1
105,Camila Gomes,61,F,Parda,Sim,4,Recife,244239,2,0,Não,397,24219,Sim,1,0,1,1,1
106,Beatriz Rodrigues,55,F,Indígena,Sim,2,Salvador,143890,0,5,Sim,776,40213,Sim,1,0,0,0,1
107,Antônio Ferreira,57,M,Parda,Sim,1,Fortaleza,100313,3,5,Não,725,46002,Não,1,0,0,0,0
108,Ricardo Pereira,51,M,Preta,Sim,4,Rio de Janeiro,52379,1,4,Sim,468,10751,Não,1,1,1,1,0
109,Fernando Oliveira,50,M,Amarela,Não,4,São Paulo,262419,2,5,Sim,705,66704,Sim,1,1,1,1,1
110,Pedro Pereira,20,M,Preta,Não,1,Belo Horizonte,240390,2,3,Não,686,49236,Sim,1,0,0,0,1
111,Ricardo Alves,51,M,Parda,Sim,0,São Paulo,176428,3,5,Não,844,49712,Sim,1,1,0,0,0
112,João Alves,57,M,Branca,Sim,1,Rio de Janeiro,72898,0,3,Sim,550,2899,Não,1,0,0,0,1
113,Patrícia Gomes,38,F,Indígena,Não,1,Curitiba,95109,1,3,Não,581,3994,Sim,1,0,0,0,0
114,Laura Ferreira,62,F,Amarela,Não,1,Curitiba,217373,1,4,Não,546,29536,Não,0,1,0,1,1
115,Laura Costa,26,F,Amarela,Sim,2,Porto Alegre,193152,0,3,Não,394,70206,Sim,1,1,0,1,1
116,Fernando Souza,73,M,Preta,Não,0,Porto Alegre,119627,0,5,Não,548,45588,Sim,1,1,0,1,1
117,Camila Rodrigues,41,F,Indígena,Não,3,Rio de Janeiro,266148,2,1,Não,620,108509,Sim,1,1,1,1,0
118,Camila Oliveira,30,F,Preta,Sim,3,Goiânia,148833,3,4,Não,563,64044,Não,1,0,0,1,0
119,Ricardo Silva,51,M,Branca,Sim,0,São Paulo,236212,1,5,Sim,369,92690,Sim,1,1,1,0,0
120,Carolina Silva,18,F,Indígena,Não,0,São Paulo,297567,2,4,Não,317,131652,Não,0,0,1,1,1
121,Eduardo Costa,34,M,Preta,Não,3,Rio de Janeiro,215586,3,3,Sim,531,39318,Sim,1,0,0,1,1
122,Maria Silva,62,F,Parda,Sim,3,Recife,193681,0,4,Sim,535,27710,Não,1,0,0,1,1
123,Carlos Ferreira,19,M,Parda,Sim,3,Rio de Janeiro,176907,1,4,Sim,698,70852,Não,1,0,0,0,1
124,Maria Santos,45,F,Parda,Sim,2,Goiânia,227986,2,0,Não,761,64304,Sim,1,0,0,0,0
125,Eduardo Rodrigues,69,M,Parda,Sim,0,Curitiba,100856,3,5,Sim,698,20753,Não,1,1,1,1,1
126,Pedro Oliveira,45,M,Amarela,Não,0,São Paulo,66986,2,4,Sim,632,25246,Sim,1,1,1,0,0
127,Eduardo Costa,28,M,Amarela,Sim,1,Curitiba,177879,2,3,Sim,364,21916,Não,1,1,0,1,0
128,Fernanda Gomes,30,F,Amarela,Sim,1,Curitiba,23548,3,2,Não,637,7212,Não,1,0,0,1,0
129,Fernando Ferreira,29,M,Amarela,Não,2,Fortaleza,147100,2,3,Não,702,47843,Sim,0,1,0,1,0
130,Fernando Souza,46,M,Preta,Sim,3,Fortaleza,92969,2,1,Não,457,27730,Não,1,0,0,0,0
131,Laura Silva,68,F,Preta,Sim,0,Porto Alegre,206126,1,5,Sim,709,98655,Não,0,1,1,1,1
132,Fernando Ferreira,43,M,Amarela,Sim,2,São Paulo,273111,0,2,Não,387,30426,Sim,1,1,0,0,1
133,Fernando Pereira,38,M,Branca,Não,0,Rio de Janeiro,31841,2,5,Sim,468,15235,Sim,1,0,1,0,0
134,Juliana Oliveira,58,F,Amarela,Não,0,Goiânia,123454,3,4,Não,698,291,Sim,1,0,0,1,1
135,Paulo Ferreira,30,M,Amarela,Sim,2,Fortaleza,296674,2,4,Não,701,29945,Não,1,1,1,0,0
136,Carlos Ferreira,25,M,Parda,Não,0,Belo Horizonte,215719,1,4,Não,728,78174,Sim,1,1,0,1,0
137,Ricardo Oliveira,49,M,Preta,Sim,1,Salvador,256454,0,2,Sim,796,17895,Sim,0,0,1,1,0
138,Carolina Pereira,28,F,Branca,Sim,1,Curitiba,37141,2,1,Não,472,14985,Não,1,1,1,0,0
139,Laura Silva,66,F,Amarela,Sim,3,Rio de Janeiro,149777,2,0,Não,569,45688,Sim,1,0,0,1,0
140,Fernanda Alves,28,F,Indígena,Sim,1,Porto Alegre,51120,2,4,Não,472,10605,Não,1,1,0,0,0
141,Carlos Alves,76,M,Branca,Não,1,Belo Horizonte,150902,1,5,Não,553,51472,Não,1,0,0,1,1
142,Luiz Costa,65,M,Preta,Não,3,Fortaleza,191593,0,5,Sim,769,83209,Não,0,0,1,0,0
143,Camila Ferreira,71,F,Preta,Não,4,Goiânia,88468,3,2,Sim,347,6525,Não,1,0,1,0,0
144,Patrícia Oliveira,74,F,Preta,Sim,2,Rio de Janeiro,208971,2,0,Não,469,6787,Não,1,0,0,0,1
145,João Souza,48,M,Branca,Sim,4,Porto Alegre,292338,3,0,Sim,651,31612,Não,1,1,1,1,0
146,Paulo Ferreira,74,M,Preta,Sim,3,Belo Horizonte,94896,0,4,Sim,468,28842,Não,1,0,1,0,0
147,Pedro Santos,26,M,Branca,Não,2,Recife,184890,1,1,Não,386,32527,Não,1,0,0,0,1
148,Luiz Rodrigues,59,M,Branca,Sim,3,Recife,79110,1,3,Sim,840,790,Não,0,1,0,1,0
149,Fernando Santos,19,M,Indígena,Sim,0,Curitiba,133111,0,0,Não,818,37550,Não,1,1,0,1,1
150,Antônio Santos,50,M,Parda,Sim,4,Salvador,224855,0,2,Não,544,7589,Sim,1,1,0,0,1
151,Pedro Silva,63,M,Parda,Sim,1,Fortaleza,201773,2,1,Não,429,98274,Não,1,1,0,1,1
152,Antônio Gomes,58,M,Branca,Não,3,Brasília,208808,0,3,Sim,676,20618,Não,1,0,0,1,0
153,João Silva,33,M,Branca,Não,2,Recife,98687,1,0,Não,529,21089,Sim,1,0,0,1,0
154,Carlos Souza,69,M,Indígena,Sim,3,Rio de Janeiro,263843,2,2,Não,388,119733,Sim,1,1,0,0,1
155,Fernanda Pereira,67,F,Parda,Sim,1,São Paulo,234977,0,1,Não,309,43911,Sim,1,1,0,1,1
156,Luiz Pereira,79,M,Branca,Sim,2,Rio de Janeiro,43016,1,4,Não,681,15022,Sim,1,0,0,1,0
157,Luiz Oliveira,33,M,Preta,Não,2,Recife,191049,2,3,Não,539,9789,Sim,1,0,1,1,1
158,Amanda Santos,52,F,Preta,Sim,3,Curitiba,262927,2,0,Sim,461,79748,Sim,1,0,1,0,0
159,Laura Silva,61,F,Preta,Não,1,São Paulo,232017,3,4,Sim,396,60560,Sim,0,1,1,0,0
160,Miguel Alves,41,M,Branca,Não,0,São Paulo,53801,1,5,Não,431,3013,Não,1,0,1,0,0
161,Carolina Silva,42,F,Amarela,Sim,2,Porto Alegre,118121,2,2,Não,452,2270,Sim,1,0,0,0,1
162,Juliana Alves,30,F,Indígena,Sim,4,São Paulo,220539,2,3,Não,652,74141,Não,1,1,0,1,0
163,Maria Pereira,51,F,Preta,Sim,1,Rio de Janeiro,149948,1,2,Sim,524,50911,Não,0,0,1,1,1
164,Fernanda Silva,63,F,Preta,Sim,4,Porto Alegre,278068,2,1,Não,338,23660,Sim,1,1,0,1,0
165,Carlos Ferreira,63,M,Parda,Não,0,São Paulo,97443,1,0,Não,374,24483,Não,1,1,0,0,0
166,Carolina Ferreira,29,F,Indígena,Não,1,Goiânia,111934,3,2,Não,430,11646,Sim,0,0,0,0,0
167,Carlos Gomes,38,M,Indígena,Sim,4,Rio de Janeiro,280143,1,2,Sim,543,90914,Não,1,0,1,0,0
168,Carolina Silva,34,F,Parda,Sim,0,Salvador,154562,0,5,Sim,349,50585,Não,1,0,0,0,1
169,Ana Pereira,68,F,Indígena,Sim,1,Fortaleza,58644,0,2,Sim,626,8556,Sim,1,1,1,0,0
170,Paulo Gomes,57,M,Amarela,Sim,3,Belo Horizonte,247646,1,0,Sim,639,26941,Sim,1,1,0,1,0
171,Patrícia Santos,21,F,Amarela,Não,1,São Paulo,209178,0,3,Sim,601,86772,Não,1,1,1,1,1
172,Antônio Alves,48,M,Amarela,Não,0,Brasília,223175,1,2,Não,678,24455,Não,1,1,0,0,1
173,Pedro Santos,60,M,Preta,Não,4,Porto Alegre,51973,3,4,Não,848,22513,Não,1,1,0,1,0
174,Ricardo Gomes,75,M,Indígena,Sim,0,Fortaleza,110638,1,1,Sim,429,2796,Não,1,0,1,0,1
175,Beatriz Santos,23,F,Amarela,Não,4,Salvador,164808,3,0,Não,415,54321,Sim,1,0,0,0,0
176,Antônio Costa,74,M,Preta,Não,2,Recife,274586,3,0,Sim,582,105637,Sim,1,0,1,1,0
177,João Pereira,76,M,Preta,Não,0,Salvador,178888,2,2,Não,400,29878,Sim,1,0,0,1,0
178,Miguel Pereira,31,M,Amarela,Não,4,Salvador,49468,1,0,Não,818,13218,Sim,1,0,0,1,0
179,João Souza,20,M,Amarela,Sim,2,Porto Alegre,163643,2,3,Não,426,4005,Sim,1,0,1,0,0
180,Beatriz Oliveira,71,F,Preta,Sim,2,São Paulo,222671,0,1,Sim,526,84853,Sim,1,1,1,1,0
181,Fernando Oliveira,59,M,Parda,Sim,1,Curitiba,180148,2,3,Não,657,60161,Não,1,1,0,0,1
182,Ricardo Ferreira,53,M,Indígena,Não,2,Rio de Janeiro,272569,0,2,Não,632,72583,Não,1,0,0,1,1
183,João Gomes,43,M,Preta,Sim,0,Fortaleza,174981,2,3,Não,697,4629,Sim,1,0,0,0,1
184,Laura Rodrigues,72,F,Parda,Sim,2,Rio de Janeiro,266824,1,5,Não,487,87984,Sim,1,1,0,0,0
185,Camila Gomes,36,F,Amarela,Sim,3,São Paulo,57337,3,1,Sim,690,17361,Não,1,0,1,0,0
186,Juliana Ferreira,73,F,Parda,Sim,3,Salvador,112706,2,5,Sim,304,29625,Não,1,0,1,1,0
187,Carlos Gomes,45,M,Amarela,Não,3,Fortaleza,220968,0,0,Sim,682,1845,Não,1,1,1,1,0
188,Paulo Rodrigues,26,M,Branca,Não,4,Goiânia,180492,1,0,Sim,605,38119,Não,1,0,1,0,0
189,Carolina Ferreira,66,F,Parda,Sim,3,São Paulo,139756,1,5,Sim,516,2872,Sim,1,0,0,1,1
190,Eduardo Silva,60,M,Branca,Sim,0,Rio de Janeiro,238510,3,3,Sim,558,62180,Sim,1,0,1,0,1
191,Fernanda Gomes,62,F,Parda,Não,0,Brasília,81726,2,0,Sim,809,13018,Sim,1,0,0,1,0
192,João Costa,49,M,Parda,Não,2,Porto Alegre,21435,0,5,Sim,413,9406,Não,1,1,1,0,1
193,Patrícia Pereira,80,F,Preta,Não,3,São Paulo,72328,1,0,Não,668,20493,Não,1,1,0,1,0
194,Paulo Ferreira,75,M,Amarela,Não,0,Salvador,199685,1,0,Não,709,59839,Não,0,0,0,1,0
195,Pedro Oliveira,62,M,Branca,Sim,0,Recife,273060,3,1,Não,667,7554,Sim,1,1,0,1,1
196,Maria Costa,67,F,Indígena,Sim,2,Brasília,294256,0,3,Sim,793,90636,Não,1,0,0,0,1
197,Ricardo Pereira,72,M,Amarela,Sim,0,Fortaleza,188104,1,2,Não,351,66444,Sim,1,1,0,1,1
198,Ana Pereira,46,F,Preta,Sim,3,São Paulo,73814,3,3,Sim,300,5956,Não,0,0,0,0,1
199,Miguel Pereira,39,M,Indígena,Não,2,Fortaleza,79781,0,5,Sim,302,22371,Não,0,0,1,0,0
200,Carlos Pereira,26,M,Amarela,Sim,2,Goiânia,122719,1,0,Não,520,29952,Sim,1,1,0,0,0
201,Fernando Pereira,60,M,Indígena,Sim,3,São Paulo,298063,0,4,Não,794,133256,Sim,1,1,0,1,0
202,Laura Alves,44,F,Indígena,Sim,2,Recife,199756,2,3,Sim,441,54099,Não,0,1,1,0,1
203,Miguel Souza,57,M,Preta,Não,1,Belo Horizonte,284185,2,5,Sim,660,125926,Não,1,0,1,0,1
204,Ricardo Santos,19,M,Amarela,Sim,0,São Paulo,124806,2,1,Não,556,9596,Sim,1,1,0,1,0
205,Eduardo Costa,73,M,Parda,Não,1,Brasília,170805,0,3,Não,726,40980,Sim,1,1,0,0,0
206,Paulo Gomes,52,M,Indígena,Sim,1,Curitiba,255308,1,5,Sim,491,126153,Sim,1,1,1,1,1
207,Eduardo Rodrigues,18,M,Preta,Não,1,São Paulo,100584,2,4,Sim,608,32148,Não,1,0,1,0,0
208,Luiz Costa,52,M,Amarela,Sim,2,Porto Alegre,131858,2,2,Não,600,28632,Não,0,0,0,1,0
209,Patrícia Gomes,76,F,Indígena,Sim,0,Salvador,219949,0,3,Não,589,3238,Não,1,1,0,1,0
210,Laura Santos,78,F,Branca,Sim,4,Brasília,23843,0,1,Sim,734,1702,Sim,1,0,0,0,0
211,Carlos Silva,47,M,Preta,Sim,0,Rio de Janeiro,48452,1,2,Sim,533,8475,Não,1,0,1,1,0
212,Eduardo Santos,66,M,Indígena,Sim,0,Salvador,283631,0,2,Não,388,73798,Não,1,0,1,1,1
213,Laura Rodrigues,79,F,Parda,Não,2,São Paulo,94120,0,0,Sim,703,35202,Sim,1,0,0,1,0
214,Carlos Oliveira,32,M,Indígena,Não,1,Rio de Janeiro,115083,0,4,Não,374,19048,Sim,1,1,0,0,1
215,Pedro Rodrigues,57,M,Branca,Sim,2,Fortaleza,256268,2,4,Não,456,74128,Não,0,0,1,1,0
216,Camila Ferreira,26,F,Preta,Não,3,Fortaleza,208083,2,3,Sim,479,84613,Sim,0,0,1,0,1
217,Pedro Silva,72,M,Indígena,Sim,4,Goiânia,232407,1,0,Não,783,85709,Sim,1,1,0,0,1
218,Laura Costa,23,F,Amarela,Não,4,São Paulo,145242,1,4,Sim,756,20869,Sim,1,0,0,1,0
219,Maria Souza,66,F,Amarela,Sim,0,Curitiba,213690,1,0,Sim,830,103738,Não,1,0,0,1,1
220,Ricardo Rodrigues,71,M,Preta,Sim,3,Recife,211520,0,4,Não,685,29215,Não,1,0,0,1,1
221,Fernando Oliveira,32,M,Branca,Não,1,Belo Horizonte,117992,1,2,Sim,535,27172,Não,1,0,1,1,1
222,Maria Souza,20,F,Parda,Sim,1,Brasília,40547,1,0,Sim,564,5899,Não,1,0,1,0,0
223,Ana Souza,46,F,Indígena,Não,3,Belo Horizonte,135009,3,4,Sim,486,66952,Não,1,0,0,0,1
224,Amanda Oliveira,24,F,Branca,Sim,4,Brasília,240093,1,4,Sim,481,62373,Sim,0,1,0,1,0
225,Luiz Costa,44,M,Preta,Sim,4,Recife,140316,3,3,Não,400,55769,Sim,1,0,0,1,1
226,Camila Souza,18,F,Branca,Sim,4,São Paulo,216623,1,5,Não,718,47483,Sim,1,0,0,0,1
227,Fernanda Rodrigues,61,F,Amarela,Sim,3,Brasília,272952,1,2,Não,559,80387,Não,1,1,1,0,1
